id,text,label
1,"Government confirms that drinking warm water cures COVID-19",1
2,"NASA announces successful landing of probe on Mars",0
3,"PM announces that all exams are cancelled forever",1
4,"Scientists discover a new treatment for diabetes",0
5,"A fake rumour claims that 5G towers control people's minds",1
6,"India wins the world cup after a thrilling final match",0
7,"Free electricity for everyone starting next week is viral hoax",1
8,"New AI tool can help diagnose diseases faster",0
9,"WhatsApp message claiming that onions cure dengue is false",1
10,"Government launches new scholarship scheme for students",0
11,"Railway ministry publishes revised timetable for selected routes",0
12,"State health department opens new vaccination centre in Hyderabad",0
13,"Indian researchers report progress in low-cost water purification",0
14,"Reserve Bank announces updated digital payment security guidelines",0
15,"Public university releases admission schedule on its official website",0
16,"Meteorological department forecasts moderate rainfall for coastal districts",0
17,"New bus service connects villages with the nearest district hospital",0
18,"Court publishes the full order after hearing the petition",0
19,"Local authorities begin repair work on damaged bridge",0
20,"School board releases examination results through its official portal",0
21,"Researchers test a new battery design in a controlled laboratory study",0
22,"Election commission publishes voter registration instructions",0
23,"Farmers receive a weather advisory before the planting season",0
24,"City hospital opens an appointment system for outpatient services",0
25,"Public transport agency announces temporary route changes",0
26,"Scientists publish study results with methods and supporting data",0
27,"District administration announces emergency helpline numbers",0
28,"Indian Institute releases a report on renewable energy research",0
29,"Government website lists eligibility rules for the new benefit scheme",0
30,"Library network adds digital books for registered members",0
31,"Forward this message immediately or your bank account will be closed tonight",1
32,"Scientists confirm that one spoon of honey prevents every disease",1
33,"Breaking news: all mobile phones will stop working across India tomorrow",1
34,"Secret government plan gives free cars to every citizen this weekend",1
35,"Share this before it is deleted: lemon water removes all toxins instantly",1
36,"Urgent warning claims that a common food causes permanent blindness",1
37,"Viral post says the moon will disappear for seven days next month",1
38,"PM secretly cancels all taxes forever according to an unnamed source",1
39,"Miracle tablet promises to cure diabetes in just one hour",1
40,"Fake message claims petrol will become free from midnight",1
41,"This shocking video proves that 5G towers control human thoughts",1
42,"No author or source named in viral claim about a nationwide exam cancellation",1
43,"एका संदेशानुसार उद्यापासून भारतातील सर्व बँका कायमच्या बंद होणार आहेत",1
44,"ఈ సందేశాన్ని వెంటనే పంచుకోండి, లేకపోతే మీ ఫోన్ పనిచేయదు",1
45,"Doctors allegedly hide a secret cure that works for every infection",1
46,"Government will deposit one lakh rupees into every account tomorrow, forward now",1
47,"ALL CAPS POST CLAIMS THAT EATING ONE FRUIT MAKES PEOPLE IMMORTAL",1
48,"Viral rumour says schools will close permanently without any official notice",1
49,"Unverified post claims a celebrity has announced a nationwide emergency",1
50,"Miracle investment scheme guarantees double money in twenty-four hours",1

